experiment,scenario,severity,method,average_slowdown,degradation_pct,task_failure_rate,p95_completion_time
reward_corruption_training_sweep,clean,clean,SJF best-fit heuristic,"4.219 [4.219, 4.219]","0.000 [0.000, 0.000]","0.240 [0.240, 0.240]","40.250 [40.250, 40.250]"
reward_corruption_training_sweep,clean,clean,Simplified PSAIM,"3.258 [3.108, 3.424]","0.000 [0.000, 0.000]","0.192 [0.183, 0.203]","68.312 [66.269, 70.603]"
reward_corruption_training_sweep,reward_corruption_training,high,DQN,"12.788 [9.327, 16.188]","287.430 [181.909, 389.928]","0.720 [0.519, 0.918]","77.741 [65.350, 89.491]"
reward_corruption_training_sweep,reward_corruption_training,high,DQN+RND,"14.965 [11.945, 17.396]","350.631 [262.619, 424.143]","0.841 [0.672, 0.978]","84.737 [73.337, 93.334]"
reward_corruption_training_sweep,reward_corruption_training,high,PG proxy,"6.471 [4.863, 8.837]","24.002 [-13.681, 75.108]","0.376 [0.282, 0.496]","76.475 [67.449, 84.600]"
reward_corruption_training_sweep,reward_corruption_training,high,SJF best-fit heuristic,"4.219 [4.219, 4.219]","0.000 [0.000, 0.000]","0.240 [0.240, 0.240]","40.250 [40.250, 40.250]"
reward_corruption_training_sweep,reward_corruption_training,high,Simplified PSAIM,"12.671 [9.388, 15.947]","290.702 [188.380, 388.128]","0.684 [0.496, 0.867]","77.406 [64.737, 88.691]"
reward_corruption_training_sweep,reward_corruption_training,low,DQN,"5.387 [3.838, 7.497]","62.180 [16.001, 120.480]","0.305 [0.234, 0.409]","76.850 [73.175, 81.338]"
reward_corruption_training_sweep,reward_corruption_training,low,DQN+RND,"4.709 [3.892, 5.613]","42.753 [17.648, 70.966]","0.283 [0.229, 0.358]","75.822 [71.831, 79.744]"
reward_corruption_training_sweep,reward_corruption_training,low,PG proxy,"7.224 [4.394, 10.930]","51.975 [-22.018, 142.726]","0.399 [0.244, 0.598]","68.375 [54.675, 80.850]"
reward_corruption_training_sweep,reward_corruption_training,low,SJF best-fit heuristic,"4.219 [4.219, 4.219]","0.000 [0.000, 0.000]","0.240 [0.240, 0.240]","40.250 [40.250, 40.250]"
reward_corruption_training_sweep,reward_corruption_training,low,Simplified PSAIM,"3.322 [3.134, 3.518]","2.455 [-4.317, 10.052]","0.192 [0.183, 0.203]","69.269 [66.631, 72.175]"
reward_corruption_training_sweep,reward_corruption_training,medium,DQN,"8.942 [7.198, 10.635]","175.809 [114.571, 234.129]","0.523 [0.422, 0.620]","77.972 [71.897, 83.816]"
reward_corruption_training_sweep,reward_corruption_training,medium,DQN+RND,"8.124 [6.498, 10.071]","148.109 [93.730, 213.606]","0.459 [0.358, 0.577]","74.216 [67.550, 80.841]"
reward_corruption_training_sweep,reward_corruption_training,medium,PG proxy,"7.329 [4.691, 10.823]","26.288 [-7.075, 63.221]","0.396 [0.252, 0.585]","67.150 [53.499, 79.051]"
reward_corruption_training_sweep,reward_corruption_training,medium,SJF best-fit heuristic,"4.219 [4.219, 4.219]","0.000 [0.000, 0.000]","0.240 [0.240, 0.240]","40.250 [40.250, 40.250]"
reward_corruption_training_sweep,reward_corruption_training,medium,Simplified PSAIM,"11.173 [9.672, 12.614]","247.702 [192.926, 301.992]","0.678 [0.601, 0.757]","82.272 [77.834, 87.144]"
